name,iso_country,municipality,iata_code
Springwood Airstrip,US,Buchanan,
Manchester Laboratory Heliport,US,Manchester,
Pierick Airport,US,Highland,
Knolle Ranch Airport,US,Snook,
Peterson Airport,US,Old Ocean,
Sheldon Chalet Heliport,US,Talkeetna,
West Beaver Airport,US,Big Lake,
Magnolia Hospital Heliport,US,Magnolia,
Stronghold Airport,US,St David,
Mee Memorial Hospital Heliport,US,King City,
Alta Sierra Airport,US,Grass Valley,
Tulare Motor Sports #2 Heliport,US,Tulare,
Cottonwood Field,US,Swink,
Placid Lakes Airport,US,Lake Placid,
Cheryl-Lane Landings Airport,US,Bushnell,
Sunnybreeze Airport,US,Arcadia,
Sunbelt Strip,US,Moultrie,
International Falls Seaplane Base,US,International Falls,
Skydive Iowa Airport,US,Brooklyn,
Taylor Ranch Landing Area Airport,US,Moscow,
Gibbons Field,US,Valeene,
Silver Cross Hospital Heliport,US,Joliet,
Gordon Airport,US,Columbia City,
Swedish American Heliport,US,Rockford,
Coffman Airport,US,Wellsville,
Baptist Hospital East Heliport,US,Louisville,
Era Helicopters Fourchon Helibase Heliport,US,Grand Isle,
Pine Hill Airport,US,Capron,
West Feliciana Sheriff's Office Heliport,US,St Francisville,
Kallander Field,US,Southborough,
Perrotti Skyranch Airfield,US,Berwick,
Michigan National Guard Headquarters Heliport,US,Lansing,
W Johnson Field,US,Hazel Run,
Hogue Farm Airport,US,Willard,
Airhaven Airport,US,Staatsburg,
William Irving Lewis Airport,US,Broadway,
Summer Hill Farm Airport,US,Bennington,
Stonebridge Farm Helistop,US,Somerville,
Dakota Air Ranch Airport,US,Ramseur,
Spring Lake Fire Department Heliport,US,Kingston,
Ragtime Aerodrome,US,Collinsville,
Mid-Columbia Medical Center Heliport,US,The Dalles,
Eagle Field,US,Port Matilda,
Hundley Residence Heliport,US,Kintersville,
Sullivan Lake State Airport,US,Metaline Falls,
Lazy G Bar Ranch Airport,US,Decatur,
Running M Ranch Airport,US,Glen Rose,
Univ of Tennessee Medical Center Heliport,US,Knoxville,
Pitcock Rosillos Mountain Ranch Airport,US,Marathon,
Smokey Mtn Ranch Airport,US,Sheffield,
Alum Ridge STOLport,US,Floyd,
Augusta Medical Center Heliport,US,Fishersville,
South Capitol Street Heliport,US,Washington,
Holy Family Hospital Heliport,US,Spokane,
Parkway Farm Strip,US,Holmen,
Baptist Medical Center Heliport,US,San Antonio,
Wipline Seaplane Base,US,Inver Grove Hgts,
Big Salmon Heliport,US,Haines,
Kalifonsky Meadows Airport,US,Kenai,
Pilot Station Airport,US,Pilot Station,PQS
Scotts Airport,US,North Pole,
Anderson Lake Airport,US,Wasilla,
Yentna Bend Strip,US,Willow,
Parker Lake Airport,US,Montana Creek,
Young Creek Airport,US,May Creek,
Victory Airport,US,Victory Bible Camp,
Bradley Lake Hydroelectri Project Airstrip,US,Homer,
Pollux Heliport,US,North Pole,
Falcon Lake Strip,US,Point Mackenzie,
Huntsville Field,US,Huntsville,
Resort Airport,US,Foley,
Clay County Hospital Heliport,US,Ashland,
Hospital Pad Heliport,US,Evergreen,
Dekalb Regional Medical Center Heliport,US,Fort Payne,
Flomaton Airport,US,Flomaton,
D.W. Mcmillian Memorial Hospital Heliport,US,Brewton,
Gadsden Regl Medical Center Heliport,US,Gadsden,
Brookwood Medical Center Heliport,US,Birmingham,
Wilson Creek Airport,US,Florence,
Smh Heliport,US,Springdale,
Hooterville South Airport,US,Centerville,
Mission Field-Marotti Memorial Airport,US,Crawfordsville,
Taylor's Air Strip,US,Deer,
Ozarks Community Hospital Heliport,US,Gravette,
Rgnl Medical Center Heliport,US,Jonesboro,
Ami National Park Medical Center Heliport,US,Hot Springs,
Yancopin Airport,US,Watson,
Howard Memorial Hospital Heliport,US,Nashville,
Eureka Springs Hospital Heliport,US,Eureka Springs,
Arizona Heart Hospital Heliport,US,Phoenix,
Taylor Field,US,Marana,
Western Sky Airport,US,Salome,
Flying Bucket Ranch Airport,US,Mobile,
Castle Well Airport,US,Morristown,
St Joseph's Hospital Heliport,US,Phoenix,
Sunstate Heliport,US,Phoenix,
Brewer Airport,US,Brewer,
Warren-Sugarbush Airport,US,Warren,
Triple R Airport,US,Dearborn,
Hinckley Airport,US,Hinckley,
Canadian Lakes Airport,US,Mecosta,
Grandpas' Farm Mendota Airport,US,Mendota,
Cushing Field Ltd Airport,US,Newark,
Coach & Paddock Heliport,US,Clinton,
Drew Medical Center Heliport,US,Los Angeles,
Northside Airpark,US,Santa Maria,
Va Greater Los Angeles Health Care Center Heliport,US,West Los Angeles,
